ID,운동명(한글),운동명(영문),대분류,소분류,주동근,보조근,기구,운동유형,난이도
1,바벨 벤치프레스,Barbell Bench Press,가슴,중부가슴,대흉근,삼두근·전면삼각근,바벨,Compound,Intermediate
2,인클라인 바벨 벤치프레스,Incline Barbell Bench Press,가슴,상부가슴,대흉근 상부,삼두근·전면삼각근,바벨,Compound,Intermediate
3,디클라인 바벨 벤치프레스,Decline Barbell Bench Press,가슴,하부가슴,대흉근 하부,삼두근,바벨,Compound,Intermediate
4,덤벨 벤치프레스,Dumbbell Bench Press,가슴,중부가슴,대흉근,삼두근·전면삼각근,덤벨,Compound,Beginner
5,인클라인 덤벨 벤치프레스,Incline Dumbbell Bench Press,가슴,상부가슴,대흉근 상부,삼두근·전면삼각근,덤벨,Compound,Intermediate
6,디클라인 덤벨 벤치프레스,Decline Dumbbell Bench Press,가슴,하부가슴,대흉근 하부,삼두근,덤벨,Compound,Intermediate
7,덤벨 플라이,Dumbbell Fly,가슴,중부가슴,대흉근,전면삼각근,덤벨,Isolation,Beginner
8,인클라인 덤벨 플라이,Incline Dumbbell Fly,가슴,상부가슴,대흉근 상부,전면삼각근,덤벨,Isolation,Intermediate
9,케이블 크로스오버,Cable Crossover,가슴,중부가슴,대흉근,전면삼각근,케이블,Isolation,Intermediate
10,로우 케이블 플라이,Low Cable Fly,가슴,상부가슴,대흉근 상부,전면삼각근,케이블,Isolation,Intermediate
11,펙덱 플라이,Pec Deck Fly,가슴,중부가슴,대흉근,전면삼각근,머신,Isolation,Beginner
12,머신 체스트 프레스,Machine Chest Press,가슴,중부가슴,대흉근,삼두근,머신,Compound,Beginner
13,스미스 머신 벤치프레스,Smith Machine Bench Press,가슴,중부가슴,대흉근,삼두근·전면삼각근,스미스,Compound,Beginner
14,푸시업,Push-Up,가슴,중부가슴,대흉근,삼두근·코어,맨몸,Compound,Beginner
15,인클라인 푸시업,Incline Push-Up,가슴,하부가슴,대흉근,삼두근,맨몸,Compound,Beginner
16,디클라인 푸시업,Decline Push-Up,가슴,상부가슴,대흉근 상부,삼두근·전면삼각근,맨몸,Compound,Intermediate
17,체스트 딥스,Chest Dip,가슴,하부가슴,대흉근 하부,삼두근,맨몸,Compound,Intermediate
18,덤벨 풀오버,Dumbbell Pullover,가슴,중부가슴,대흉근,광배근·전거근,덤벨,Isolation,Intermediate
19,스벤드 프레스,Svend Press,가슴,중부가슴,대흉근,전면삼각근,원판,Isolation,Beginner
20,플로어 프레스,Floor Press,가슴,중부가슴,대흉근,삼두근,바벨,Compound,Intermediate
21,컨벤셔널 데드리프트,Conventional Deadlift,등,척추기립근,척추기립근·둔근,햄스트링·승모근,바벨,Compound,Advanced
22,스모 데드리프트,Sumo Deadlift,등,척추기립근,둔근·내전근,햄스트링·척추기립근,바벨,Compound,Advanced
23,루마니안 데드리프트,Romanian Deadlift,등,햄스트링,햄스트링·둔근,척추기립근,바벨,Compound,Intermediate
24,바벨 벤트오버 로우,Barbell Bent-Over Row,등,광배근,광배근·능형근,후면삼각근·이두근,바벨,Compound,Intermediate
25,펜들레이 로우,Pendlay Row,등,광배근,광배근·능형근,후면삼각근,바벨,Compound,Advanced
26,티바 로우,T-Bar Row,등,광배근,광배근·능형근,이두근,바벨,Compound,Intermediate
27,원암 덤벨 로우,One-Arm Dumbbell Row,등,광배근,광배근,능형근·이두근,덤벨,Compound,Beginner
28,시티드 케이블 로우,Seated Cable Row,등,광배근,광배근·능형근,이두근,케이블,Compound,Beginner
29,랫 풀다운,Lat Pulldown,등,광배근,광배근,이두근·능형근,케이블,Compound,Beginner
30,와이드 그립 랫 풀다운,Wide-Grip Lat Pulldown,등,광배근,광배근 상부,능형근,케이블,Compound,Beginner
31,클로즈 그립 랫 풀다운,Close-Grip Lat Pulldown,등,광배근,광배근 하부,이두근,케이블,Compound,Beginner
32,풀업,Pull-Up,등,광배근,광배근,이두근·능형근,맨몸,Compound,Advanced
33,친업,Chin-Up,등,광배근,광배근·이두근,능형근,맨몸,Compound,Intermediate
34,와이드 그립 풀업,Wide-Grip Pull-Up,등,광배근,광배근 상부,능형근,맨몸,Compound,Advanced
35,어시스트 풀업,Assisted Pull-Up,등,광배근,광배근,이두근,머신,Compound,Beginner
36,인버티드 로우,Inverted Row,등,광배근,광배근·능형근,이두근,맨몸,Compound,Beginner
37,스트레이트 암 풀다운,Straight-Arm Pulldown,등,광배근,광배근,대원근,케이블,Isolation,Intermediate
38,체스트 서포티드 로우,Chest-Supported Row,등,능형근,능형근·중부승모근,후면삼각근,덤벨,Compound,Beginner
39,머신 로우,Machine Row,등,광배근,광배근·능형근,이두근,머신,Compound,Beginner
40,하이 로우 머신,Hammer Strength High Row,등,광배근,광배근 상부,능형근,머신,Compound,Intermediate
41,랙풀,Rack Pull,등,척추기립근,척추기립근·승모근,둔근,바벨,Compound,Intermediate
42,굿모닝,Good Morning,등,척추기립근,척추기립근·햄스트링,둔근,바벨,Compound,Advanced
43,백 익스텐션,Back Extension,등,척추기립근,척추기립근,둔근·햄스트링,맨몸,Isolation,Beginner
44,바벨 슈러그,Barbell Shrug,등,승모근,상부승모근,전완근,바벨,Isolation,Beginner
45,덤벨 슈러그,Dumbbell Shrug,등,승모근,상부승모근,전완근,덤벨,Isolation,Beginner
46,미도우즈 로우,Meadows Row,등,광배근,광배근,후면삼각근,랜드마인,Compound,Advanced
47,실 로우,Seal Row,등,능형근,능형근·광배근,후면삼각근,덤벨,Compound,Intermediate
48,랜드마인 로우,Landmine Row,등,광배근,광배근·능형근,이두근,랜드마인,Compound,Intermediate
49,바벨 오버헤드 프레스,Barbell Overhead Press,어깨,전면삼각근,전면·측면삼각근,삼두근·상부승모근,바벨,Compound,Intermediate
50,밀리터리 프레스,Military Press,어깨,전면삼각근,전면삼각근,삼두근·코어,바벨,Compound,Advanced
51,덤벨 숄더 프레스,Dumbbell Shoulder Press,어깨,전면삼각근,전면·측면삼각근,삼두근,덤벨,Compound,Beginner
52,아놀드 프레스,Arnold Press,어깨,전면삼각근,전면·측면삼각근,삼두근,덤벨,Compound,Intermediate
53,머신 숄더 프레스,Machine Shoulder Press,어깨,전면삼각근,전면·측면삼각근,삼두근,머신,Compound,Beginner
54,스미스 머신 숄더 프레스,Smith Machine Shoulder Press,어깨,전면삼각근,전면삼각근,삼두근,스미스,Compound,Beginner
55,비하인드 넥 프레스,Behind-the-Neck Press,어깨,측면삼각근,측면·후면삼각근,삼두근,바벨,Compound,Advanced
56,덤벨 사이드 레터럴 레이즈,Dumbbell Lateral Raise,어깨,측면삼각근,측면삼각근,상부승모근,덤벨,Isolation,Beginner
57,케이블 레터럴 레이즈,Cable Lateral Raise,어깨,측면삼각근,측면삼각근,상부승모근,케이블,Isolation,Intermediate
58,머신 레터럴 레이즈,Machine Lateral Raise,어깨,측면삼각근,측면삼각근,상부승모근,머신,Isolation,Beginner
59,덤벨 프론트 레이즈,Dumbbell Front Raise,어깨,전면삼각근,전면삼각근,상부승모근,덤벨,Isolation,Beginner
60,케이블 프론트 레이즈,Cable Front Raise,어깨,전면삼각근,전면삼각근,상부승모근,케이블,Isolation,Beginner
61,덤벨 리어 델트 플라이,Dumbbell Rear Delt Fly,어깨,후면삼각근,후면삼각근,능형근,덤벨,Isolation,Beginner
62,리버스 펙덱,Reverse Pec Deck,어깨,후면삼각근,후면삼각근,능형근,머신,Isolation,Beginner
63,케이블 리어 델트 플라이,Cable Rear Delt Fly,어깨,후면삼각근,후면삼각근,능형근,케이블,Isolation,Intermediate
64,페이스 풀,Face Pull,어깨,후면삼각근,후면삼각근·회전근개,능형근,케이블,Isolation,Beginner
65,바벨 업라이트 로우,Barbell Upright Row,어깨,측면삼각근,측면삼각근·승모근,이두근,바벨,Compound,Intermediate
66,케이블 업라이트 로우,Cable Upright Row,어깨,측면삼각근,측면삼각근·승모근,이두근,케이블,Compound,Beginner
67,랜드마인 프레스,Landmine Press,어깨,전면삼각근,전면삼각근,삼두근·상부가슴,랜드마인,Compound,Intermediate
68,플레이트 프론트 레이즈,Plate Front Raise,어깨,전면삼각근,전면삼각근,상부승모근,원판,Isolation,Beginner
69,바벨 백 스쿼트,Barbell Back Squat,하체,대퇴사두,대퇴사두·둔근,햄스트링·코어,바벨,Compound,Intermediate
70,프론트 스쿼트,Front Squat,하체,대퇴사두,대퇴사두,둔근·코어,바벨,Compound,Advanced
71,하이바 스쿼트,High-Bar Squat,하체,대퇴사두,대퇴사두,둔근,바벨,Compound,Intermediate
72,로우바 스쿼트,Low-Bar Squat,하체,둔근,둔근·햄스트링,대퇴사두,바벨,Compound,Advanced
73,고블릿 스쿼트,Goblet Squat,하체,대퇴사두,대퇴사두·둔근,코어,덤벨,Compound,Beginner
74,스미스 머신 스쿼트,Smith Machine Squat,하체,대퇴사두,대퇴사두·둔근,햄스트링,스미스,Compound,Beginner
75,핵 스쿼트,Hack Squat,하체,대퇴사두,대퇴사두,둔근,머신,Compound,Intermediate
76,레그 프레스,Leg Press,하체,대퇴사두,대퇴사두·둔근,햄스트링,머신,Compound,Beginner
77,레그 익스텐션,Leg Extension,하체,대퇴사두,대퇴사두,-,머신,Isolation,Beginner
78,라잉 레그 컬,Lying Leg Curl,하체,햄스트링,햄스트링,비복근,머신,Isolation,Beginner
79,시티드 레그 컬,Seated Leg Curl,하체,햄스트링,햄스트링,비복근,머신,Isolation,Beginner
80,워킹 런지,Walking Lunge,하체,대퇴사두,대퇴사두·둔근,햄스트링,덤벨,Compound,Intermediate
81,덤벨 런지,Dumbbell Lunge,하체,대퇴사두,대퇴사두·둔근,햄스트링,덤벨,Compound,Beginner
82,불가리안 스플릿 스쿼트,Bulgarian Split Squat,하체,대퇴사두,대퇴사두·둔근,햄스트링,덤벨,Compound,Intermediate
83,스텝업,Step-Up,하체,대퇴사두,대퇴사두·둔근,햄스트링,덤벨,Compound,Beginner
84,바벨 힙 쓰러스트,Barbell Hip Thrust,하체,둔근,대둔근,햄스트링,바벨,Compound,Intermediate
85,글루트 브릿지,Glute Bridge,하체,둔근,대둔근,햄스트링,맨몸,Isolation,Beginner
